"ID","mo","yr","Mean_Concentration","date"
"1","01","2014",12.3034482758621,2014-01-01
"2","02","2014",12.8392857142857,2014-02-01
"3","03","2014",11.7548387096774,2014-03-01
"4","04","2014",10.6466666666667,2014-04-01
"5","05","2014",13.5241379310345,2014-05-01
"6","06","2014",10.1833333333333,2014-06-01
"7","07","2014",11.0064516129032,2014-07-01
"8","08","2014",11.0354838709677,2014-08-01
"9","09","2014",7.4,2014-09-01
"10","10","2014",9.03548387096774,2014-10-01
"11","11","2014",12.3033333333333,2014-11-01
"12","12","2014",11.6703703703704,2014-12-01
"13","01","2015",10.8107142857143,2015-01-01
"14","02","2015",13.0652173913043,2015-02-01
"15","03","2015",10.1806451612903,2015-03-01
"16","04","2015",9.05714285714286,2015-04-01
"17","05","2015",8.26774193548387,2015-05-01
"18","06","2015",10.7,2015-06-01
"19","07","2015",13.385,2015-07-01
"20","08","2015",11.7148148148148,2015-08-01
"21","09","2015",9.94333333333333,2015-09-01
"22","10","2015",10.651724137931,2015-10-01
"23","11","2015",11.3071428571429,2015-11-01
"24","12","2015",11.3518518518519,2015-12-01
"25","01","2016",11.1,2016-01-01
"26","02","2016",10.9413793103448,2016-02-01
"27","03","2016",10.0181818181818,2016-03-01
"28","04","2016",6.01333333333333,2016-04-01
"29","05","2016",6.49354838709677,2016-05-01
"30","06","2016",7.30666666666667,2016-06-01
"31","07","2016",10.4935483870968,2016-07-01
"32","08","2016",8.75294117647059,2016-08-01
"33","09","2016",8.20344827586207,2016-09-01
"34","10","2016",10.2709677419355,2016-10-01
"35","11","2016",16.0766666666667,2016-11-01
"36","12","2016",13.258064516129,2016-12-01
"37","01","2017",5.94545454545455,2017-01-01
"38","02","2017",8.63333333333333,2017-02-01
"39","03","2017",5.5,2017-03-01
"40","04","2017",7.27,2017-04-01
"41","05","2017",7.31818181818182,2017-05-01
"42","06","2017",7.6,2017-06-01
"43","07","2017",8.2,2017-07-01
"44","08","2017",8.92727272727273,2017-08-01
"45","09","2017",8.39,2017-09-01
"46","10","2017",7.13636363636364,2017-10-01
"47","11","2017",9.7,2017-11-01
"48","12","2017",9.18,2017-12-01
"49","01","2018",9.24838709677419,2018-01-01
"50","02","2018",8.45,2018-02-01
"51","03","2018",8.56129032258064,2018-03-01
"52","04","2018",8.87333333333333,2018-04-01
"53","05","2018",8.50967741935484,2018-05-01
"54","06","2018",9.98666666666667,2018-06-01
